
Train 12467, Val 496, Test 1153
Step [5400/12467], Loss: 0.1820, Acc : 92.63
Step [5500/12467], Loss: 0.1808, Acc : 92.67
Step [5600/12467], Loss: 0.1796, Acc : 92.71
Step [5700/12467], Loss: 0.1784, Acc : 92.75
Step [5800/12467], Loss: 0.1771, Acc : 92.80
Step [5900/12467], Loss: 0.1759, Acc : 92.84
Step [6000/12467], Loss: 0.1748, Acc : 92.88
Step [6100/12467], Loss: 0.1736, Acc : 92.92
Step [6200/12467], Loss: 0.1725, Acc : 92.95
Step [6300/12467], Loss: 0.1715, Acc : 92.99
Step [6400/12467], Loss: 0.1706, Acc : 93.02
Step [6500/12467], Loss: 0.1695, Acc : 93.06
Step [6600/12467], Loss: 0.1684, Acc : 93.10
Step [6700/12467], Loss: 0.1673, Acc : 93.13
Step [6800/12467], Loss: 0.1663, Acc : 93.17
Step [6900/12467], Loss: 0.1654, Acc : 93.20
Step [7000/12467], Loss: 0.1644, Acc : 93.24
Step [7100/12467], Loss: 0.1635, Acc : 93.27
Step [7200/12467], Loss: 0.1626, Acc : 93.30
Step [7300/12467], Loss: 0.1617, Acc : 93.33
Step [7400/12467], Loss: 0.1608, Acc : 93.36
Step [7500/12467], Loss: 0.1600, Acc : 93.39
Step [7600/12467], Loss: 0.1592, Acc : 93.41
Step [7700/12467], Loss: 0.1584, Acc : 93.44
Step [7800/12467], Loss: 0.1576, Acc : 93.47
Step [7900/12467], Loss: 0.1568, Acc : 93.50
Step [8000/12467], Loss: 0.1561, Acc : 93.52
Step [8100/12467], Loss: 0.1554, Acc : 93.55
Step [8200/12467], Loss: 0.1547, Acc : 93.57
Step [8300/12467], Loss: 0.1540, Acc : 93.59
Step [8400/12467], Loss: 0.1533, Acc : 93.62
Step [8500/12467], Loss: 0.1526, Acc : 93.64
Step [8600/12467], Loss: 0.1519, Acc : 93.66
Step [8700/12467], Loss: 0.1511, Acc : 93.69
Step [8800/12467], Loss: 0.1505, Acc : 93.71
Step [8900/12467], Loss: 0.1498, Acc : 93.74
Step [9000/12467], Loss: 0.1492, Acc : 93.76
Step [9100/12467], Loss: 0.1485, Acc : 93.78
Step [9200/12467], Loss: 0.1479, Acc : 93.81
Step [9300/12467], Loss: 0.1472, Acc : 93.83
Step [9400/12467], Loss: 0.1466, Acc : 93.85
Step [9500/12467], Loss: 0.1461, Acc : 93.87
Step [9600/12467], Loss: 0.1455, Acc : 93.89
Step [9700/12467], Loss: 0.1449, Acc : 93.91
Step [9800/12467], Loss: 0.1443, Acc : 93.93
Step [9900/12467], Loss: 0.1438, Acc : 93.95
Step [10000/12467], Loss: 0.1432, Acc : 93.97
Step [10100/12467], Loss: 0.1426, Acc : 93.99
Step [10200/12467], Loss: 0.1420, Acc : 94.01
Step [10300/12467], Loss: 0.1415, Acc : 94.03
Step [10400/12467], Loss: 0.1409, Acc : 94.06
Step [10500/12467], Loss: 0.1404, Acc : 94.07
Step [10600/12467], Loss: 0.1399, Acc : 94.09
Step [10700/12467], Loss: 0.1394, Acc : 94.11
Step [10800/12467], Loss: 0.1389, Acc : 94.13
Step [10900/12467], Loss: 0.1384, Acc : 94.15
Step [11000/12467], Loss: 0.1379, Acc : 94.16
Step [11100/12467], Loss: 0.1375, Acc : 94.18
Step [11200/12467], Loss: 0.1370, Acc : 94.19
Step [11300/12467], Loss: 0.1366, Acc : 94.21
Step [11400/12467], Loss: 0.1361, Acc : 94.22
Step [11500/12467], Loss: 0.1357, Acc : 94.24
Step [11600/12467], Loss: 0.1352, Acc : 94.26
Step [11700/12467], Loss: 0.1348, Acc : 94.27
Step [11800/12467], Loss: 0.1343, Acc : 94.29
Step [11900/12467], Loss: 0.1339, Acc : 94.30
Step [12000/12467], Loss: 0.1335, Acc : 94.32
Step [12100/12467], Loss: 0.1331, Acc : 94.33
Step [12200/12467], Loss: 0.1326, Acc : 94.35
Step [12300/12467], Loss: 0.1322, Acc : 94.36
Step [12400/12467], Loss: 0.1318, Acc : 94.38
Traceback (most recent call last):
  File "train.py", line 273, in <module>
    main(config)
  File "train.py", line 193, in main
    print("Training time for {} is {:.4f}".format(epoch, (time.time - start_time)))
TypeError: unsupported operand type(s) for -: 'builtin_function_or_method' and 'float'
