gt_source,gt_target,pred_source,pred_target,count
Orchards and fruit growing,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",Orchards and fruit growing,3005
Industrial and commercial areas,Industrial and commercial areas,Vineyards,Industrial and commercial areas,2820
Woody moorlands,Woody moorlands,Sunflower,Woody moorlands,2749
Sunflower,Sunflower,Industrial and commercial areas,Sunflower,2421
Woody moorlands,Woody moorlands,Diffuse built-up area,Woody moorlands,2308
Hardwood forest,Hardwood forest,Vineyards,Hardwood forest,2286
Dense built-up area,Dense built-up area,Industrial and commercial areas,Diffuse built-up area,2238
Hardwood forest,Hardwood forest,Orchards and fruit growing,Hardwood forest,2229
Dense built-up area,Dense built-up area,Industrial and commercial areas,Dense built-up area,2214
Orchards and fruit growing,Orchards and fruit growing,Orchards and fruit growing,Industrial and commercial areas,2007
Orchards and fruit growing,Orchards and fruit growing,Diffuse built-up area,Orchards and fruit growing,1990
Woody moorlands,Woody moorlands,Orchards and fruit growing,Industrial and commercial areas,1916
Softwood forest,Softwood forest,Woody moorlands,Softwood forest,1910
Orchards and fruit growing,Orchards and fruit growing,Vineyards,Orchards and fruit growing,1803
Roads,Roads,Roads,Industrial and commercial areas,1761
Sunflower,Sunflower,"Straw cereals (Wheat, Triticale, Barley)",Sunflower,1728
Industrial and commercial areas,Industrial and commercial areas,Sunflower,Diffuse built-up area,1656
Orchards and fruit growing,Orchards and fruit growing,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",1621
Soy,Soy,Industrial and commercial areas,Soy,1588
Industrial and commercial areas,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",Industrial and commercial areas,1587
Diffuse built-up area,Diffuse built-up area,Sunflower,Diffuse built-up area,1483
Water,Water,Woody moorlands,Water,1449
Softwood forest,Softwood forest,Orchards and fruit growing,Softwood forest,1429
Soy,Soy,Corn,Soy,1396
Vineyards,Vineyards,Woody moorlands,Vineyards,1388
Diffuse built-up area,Diffuse built-up area,Diffuse built-up area,Industrial and commercial areas,1318
Soy,Soy,Orchards and fruit growing,Soy,1316
Sunflower,Sunflower,Sunflower,"Straw cereals (Wheat, Triticale, Barley)",1310
Sunflower,Sunflower,Orchards and fruit growing,Sunflower,1274
Woody moorlands,Woody moorlands,"Straw cereals (Wheat, Triticale, Barley)",Sunflower,1246
Industrial and commercial areas,Industrial and commercial areas,Dense built-up area,Industrial and commercial areas,1239
Roads,Roads,Woody moorlands,Roads,1202
Soy,Soy,Soy,Sunflower,1123
Water,Water,Softwood forest,Water,1072
Hardwood forest,Hardwood forest,Diffuse built-up area,Industrial and commercial areas,1069
Natural grasslands and pastures,Natural grasslands and pastures,Softwood forest,Natural grasslands and pastures,1060
Industrial and commercial areas,Industrial and commercial areas,Oilseeds (Rapeseed),Industrial and commercial areas,1048
Softwood forest,Softwood forest,Vineyards,Softwood forest,1045
Dense built-up area,Dense built-up area,Orchards and fruit growing,Industrial and commercial areas,1009
Soy,Soy,Protein crops (Beans / Peas),Soy,985
Orchards and fruit growing,Orchards and fruit growing,Corn,Orchards and fruit growing,944
Hardwood forest,Hardwood forest,Sunflower,Industrial and commercial areas,875
Woody moorlands,Woody moorlands,Water,Woody moorlands,837
Woody moorlands,Woody moorlands,Woody moorlands,Softwood forest,828
Woody moorlands,Woody moorlands,Woody moorlands,Industrial and commercial areas,792
Orchards and fruit growing,Orchards and fruit growing,Water,Orchards and fruit growing,789
Industrial and commercial areas,Industrial and commercial areas,Industrial and commercial areas,Roads,770
Roads,Roads,Orchards and fruit growing,Roads,764
Industrial and commercial areas,Industrial and commercial areas,Industrial and commercial areas,Sunflower,755
Vineyards,Vineyards,Orchards and fruit growing,Industrial and commercial areas,753
Dense built-up area,Dense built-up area,Sunflower,Diffuse built-up area,745
Soy,Soy,"Straw cereals (Wheat, Triticale, Barley)",Soy,734
Orchards and fruit growing,Orchards and fruit growing,Oilseeds (Rapeseed),Orchards and fruit growing,719
Orchards and fruit growing,Orchards and fruit growing,Orchards and fruit growing,Oilseeds (Rapeseed),705
Industrial and commercial areas,Industrial and commercial areas,Water,Industrial and commercial areas,688
Industrial and commercial areas,Industrial and commercial areas,Diffuse built-up area,Sunflower,678
Orchards and fruit growing,Orchards and fruit growing,Diffuse built-up area,Industrial and commercial areas,670
Orchards and fruit growing,Orchards and fruit growing,Orchards and fruit growing,Sunflower,668
Orchards and fruit growing,Orchards and fruit growing,Industrial and commercial areas,Woody moorlands,664
Sunflower,Sunflower,Oilseeds (Rapeseed),Sunflower,658
Softwood forest,Softwood forest,Natural grasslands and pastures,Softwood forest,653
Orchards and fruit growing,Orchards and fruit growing,Softwood forest,Woody moorlands,651
Orchards and fruit growing,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",Sunflower,645
Softwood forest,Softwood forest,Corn,Softwood forest,636
Industrial and commercial areas,Industrial and commercial areas,Sunflower,"Straw cereals (Wheat, Triticale, Barley)",634
Roads,Roads,Softwood forest,Roads,631
Sunflower,Sunflower,Sunflower,Soy,628
Water,Water,"Straw cereals (Wheat, Triticale, Barley)",Sunflower,623
Natural grasslands and pastures,Natural grasslands and pastures,Woody moorlands,Natural grasslands and pastures,615
Hardwood forest,Hardwood forest,Sunflower,Diffuse built-up area,611
Corn,Corn,"Straw cereals (Wheat, Triticale, Barley)",Corn,607
Soy,Soy,Oilseeds (Rapeseed),Soy,604
Woody moorlands,Woody moorlands,Diffuse built-up area,Industrial and commercial areas,601
Industrial and commercial areas,Industrial and commercial areas,Natural grasslands and pastures,Industrial and commercial areas,595
Industrial and commercial areas,Industrial and commercial areas,Industrial and commercial areas,Orchards and fruit growing,587
Softwood forest,Softwood forest,Water,Softwood forest,572
Woody moorlands,Woody moorlands,Vineyards,Woody moorlands,565
Vineyards,Vineyards,Hardwood forest,Vineyards,561
Roads,Roads,Orchards and fruit growing,Industrial and commercial areas,560
Sunflower,Sunflower,Soy,Sunflower,552
Water,Water,Sunflower,Water,543
Hardwood forest,Hardwood forest,Diffuse built-up area,Sunflower,533
Natural grasslands and pastures,Natural grasslands and pastures,Orchards and fruit growing,Natural grasslands and pastures,522
Orchards and fruit growing,Orchards and fruit growing,Soy,Orchards and fruit growing,520
Oilseeds (Rapeseed),Oilseeds (Rapeseed),Oilseeds (Rapeseed),"Straw cereals (Wheat, Triticale, Barley)",488
Sunflower,Sunflower,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",481
Orchards and fruit growing,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",Soy,471
Industrial and commercial areas,Industrial and commercial areas,Orchards and fruit growing,Diffuse built-up area,470
Soy,Soy,Diffuse built-up area,Soy,458
Dense built-up area,Dense built-up area,Sunflower,Industrial and commercial areas,445
Roads,Roads,Diffuse built-up area,Industrial and commercial areas,437
Vineyards,Vineyards,Diffuse built-up area,Industrial and commercial areas,430
Hardwood forest,Hardwood forest,Industrial and commercial areas,Diffuse built-up area,421
Orchards and fruit growing,Orchards and fruit growing,Oilseeds (Rapeseed),"Straw cereals (Wheat, Triticale, Barley)",420
Hardwood forest,Hardwood forest,"Straw cereals (Wheat, Triticale, Barley)",Hardwood forest,420
Soy,Soy,Soy,Corn,416
Industrial and commercial areas,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",Sunflower,411
Woody moorlands,Woody moorlands,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",411
Roads,Roads,Woody moorlands,Industrial and commercial areas,402
Hardwood forest,Hardwood forest,Woody moorlands,Hardwood forest,399
Water,Water,Orchards and fruit growing,Woody moorlands,394
Orchards and fruit growing,Orchards and fruit growing,Sunflower,Industrial and commercial areas,392
Woody moorlands,Woody moorlands,Industrial and commercial areas,Diffuse built-up area,381
Diffuse built-up area,Diffuse built-up area,Dense built-up area,Diffuse built-up area,380
Industrial and commercial areas,Industrial and commercial areas,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",363
Roads,Roads,Sunflower,Roads,355
Softwood forest,Softwood forest,Softwood forest,Woody moorlands,354
Softwood forest,Softwood forest,Industrial and commercial areas,Softwood forest,350
Water,Water,Orchards and fruit growing,Industrial and commercial areas,348
Oilseeds (Rapeseed),Oilseeds (Rapeseed),"Straw cereals (Wheat, Triticale, Barley)",Oilseeds (Rapeseed),339
Hardwood forest,Hardwood forest,Sunflower,Soy,338
Sunflower,Sunflower,Woody moorlands,Sunflower,327
Vineyards,Vineyards,Softwood forest,Industrial and commercial areas,324
Dense built-up area,Dense built-up area,Dense built-up area,Diffuse built-up area,320
Water,Water,Industrial and commercial areas,Water,316
Vineyards,Vineyards,Sunflower,Industrial and commercial areas,311
Woody moorlands,Woody moorlands,Woody moorlands,Orchards and fruit growing,311
Soy,Soy,Soy,"Straw cereals (Wheat, Triticale, Barley)",309
Roads,Roads,Diffuse built-up area,Roads,309
Natural grasslands and pastures,Natural grasslands and pastures,Sunflower,Natural grasslands and pastures,300
Corn,Corn,Oilseeds (Rapeseed),Corn,300
Vineyards,Vineyards,Natural grasslands and pastures,Vineyards,296
Sunflower,Sunflower,Corn,Sunflower,295
Vineyards,Vineyards,Soy,Vineyards,292
Hardwood forest,Hardwood forest,Orchards and fruit growing,Industrial and commercial areas,289
Industrial and commercial areas,Industrial and commercial areas,Industrial and commercial areas,Woody moorlands,285
Orchards and fruit growing,Orchards and fruit growing,Orchards and fruit growing,Diffuse built-up area,284
Orchards and fruit growing,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",Oilseeds (Rapeseed),284
Orchards and fruit growing,Orchards and fruit growing,Sunflower,"Straw cereals (Wheat, Triticale, Barley)",282
Industrial and commercial areas,Industrial and commercial areas,Orchards and fruit growing,Sunflower,282
Woody moorlands,Woody moorlands,Sunflower,"Straw cereals (Wheat, Triticale, Barley)",281
Industrial and commercial areas,Industrial and commercial areas,Diffuse built-up area,Orchards and fruit growing,281
Sunflower,Sunflower,Sunflower,Oilseeds (Rapeseed),279
Natural grasslands and pastures,Natural grasslands and pastures,Natural grasslands and pastures,Softwood forest,279
Roads,Roads,Softwood forest,Industrial and commercial areas,278
Vineyards,Vineyards,Water,Vineyards,275
Vineyards,Vineyards,Corn,Vineyards,274
Corn,Corn,Industrial and commercial areas,Corn,274
Hardwood forest,Hardwood forest,Corn,Hardwood forest,273
Woody moorlands,Woody moorlands,Woody moorlands,Water,260
Water,Water,Water,Softwood forest,260
Roads,Roads,Vineyards,Roads,257
Woody moorlands,Woody moorlands,"Straw cereals (Wheat, Triticale, Barley)",Woody moorlands,257
Sunflower,Sunflower,Sunflower,Protein crops (Beans / Peas),257
Industrial and commercial areas,Industrial and commercial areas,Dense built-up area,Diffuse built-up area,255
Water,Water,"Straw cereals (Wheat, Triticale, Barley)",Water,254
Roads,Roads,Natural grasslands and pastures,Roads,250
Natural grasslands and pastures,Natural grasslands and pastures,Industrial and commercial areas,Natural grasslands and pastures,248
Industrial and commercial areas,Industrial and commercial areas,Sunflower,Orchards and fruit growing,246
Sunflower,Sunflower,Diffuse built-up area,Sunflower,245
Corn,Corn,Corn,Soy,237
Roads,Roads,Vineyards,Industrial and commercial areas,236
Industrial and commercial areas,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",Corn,227
Vineyards,Vineyards,Industrial and commercial areas,Orchards and fruit growing,225
Hardwood forest,Hardwood forest,Industrial and commercial areas,Sunflower,221
Woody moorlands,Woody moorlands,Softwood forest,Industrial and commercial areas,218
Vineyards,Vineyards,"Straw cereals (Wheat, Triticale, Barley)",Vineyards,217
Natural grasslands and pastures,Natural grasslands and pastures,Natural grasslands and pastures,Industrial and commercial areas,216
Hardwood forest,Hardwood forest,Hardwood forest,Industrial and commercial areas,215
Natural grasslands and pastures,Natural grasslands and pastures,Natural grasslands and pastures,Woody moorlands,215
Softwood forest,Softwood forest,Sunflower,Softwood forest,210
Orchards and fruit growing,Orchards and fruit growing,Protein crops (Beans / Peas),Orchards and fruit growing,208
Vineyards,Vineyards,Industrial and commercial areas,Softwood forest,207
Vineyards,Vineyards,Woody moorlands,Industrial and commercial areas,205
Corn,Corn,Corn,"Straw cereals (Wheat, Triticale, Barley)",204
Hardwood forest,Hardwood forest,Soy,Hardwood forest,204
Corn,Corn,Sunflower,Soy,203
Dense built-up area,Dense built-up area,Vineyards,Industrial and commercial areas,203
Soy,Soy,Sunflower,Corn,202
Industrial and commercial areas,Industrial and commercial areas,Softwood forest,Woody moorlands,201
Orchards and fruit growing,Orchards and fruit growing,Sunflower,Diffuse built-up area,200
Vineyards,Vineyards,Sunflower,"Straw cereals (Wheat, Triticale, Barley)",200
Natural grasslands and pastures,Natural grasslands and pastures,Woody moorlands,Industrial and commercial areas,199
Water,Water,Diffuse built-up area,Industrial and commercial areas,198
Hardwood forest,Hardwood forest,Hardwood forest,Diffuse built-up area,194
Woody moorlands,Woody moorlands,Orchards and fruit growing,Softwood forest,192
Woody moorlands,Woody moorlands,Sunflower,Industrial and commercial areas,191
Roads,Roads,Industrial and commercial areas,Diffuse built-up area,186
Softwood forest,Softwood forest,Softwood forest,Industrial and commercial areas,185
Industrial and commercial areas,Industrial and commercial areas,Corn,Industrial and commercial areas,184
Water,Water,Water,Orchards and fruit growing,183
Hardwood forest,Hardwood forest,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",183
Vineyards,Vineyards,Vineyards,Industrial and commercial areas,182
Industrial and commercial areas,Industrial and commercial areas,Diffuse built-up area,Dense built-up area,181
Orchards and fruit growing,Orchards and fruit growing,Orchards and fruit growing,Water,173
Water,Water,Water,Woody moorlands,171
Water,Water,Diffuse built-up area,Water,168
Vineyards,Vineyards,Diffuse built-up area,Orchards and fruit growing,168
Orchards and fruit growing,Orchards and fruit growing,Diffuse built-up area,Woody moorlands,167
Orchards and fruit growing,Orchards and fruit growing,Woody moorlands,Industrial and commercial areas,159
Woody moorlands,Woody moorlands,Sunflower,Orchards and fruit growing,159
Orchards and fruit growing,Orchards and fruit growing,Woody moorlands,Softwood forest,157
Corn,Corn,Corn,Sunflower,157
Softwood forest,Softwood forest,Softwood forest,Diffuse built-up area,156
Industrial and commercial areas,Industrial and commercial areas,Oilseeds (Rapeseed),"Straw cereals (Wheat, Triticale, Barley)",154
Corn,Corn,Diffuse built-up area,Corn,153
Industrial and commercial areas,Industrial and commercial areas,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",150
Hardwood forest,Hardwood forest,Sunflower,Orchards and fruit growing,150
Industrial and commercial areas,Industrial and commercial areas,Corn,"Straw cereals (Wheat, Triticale, Barley)",148
Corn,Corn,Sunflower,Industrial and commercial areas,148
Orchards and fruit growing,Orchards and fruit growing,Sunflower,Soy,146
Industrial and commercial areas,Industrial and commercial areas,Diffuse built-up area,"Straw cereals (Wheat, Triticale, Barley)",146
Hardwood forest,Hardwood forest,Water,Hardwood forest,144
Hardwood forest,Hardwood forest,Oilseeds (Rapeseed),Hardwood forest,144
Orchards and fruit growing,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",Corn,143
Diffuse built-up area,Diffuse built-up area,Orchards and fruit growing,Diffuse built-up area,143
Water,Water,Woody moorlands,Industrial and commercial areas,142
Soy,Soy,Corn,Sunflower,142
Diffuse built-up area,Diffuse built-up area,Orchards and fruit growing,Industrial and commercial areas,141
Dense built-up area,Dense built-up area,Sunflower,"Straw cereals (Wheat, Triticale, Barley)",141
Woody moorlands,Woody moorlands,Industrial and commercial areas,Orchards and fruit growing,140
Industrial and commercial areas,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",Oilseeds (Rapeseed),140
Dense built-up area,Dense built-up area,Roads,Industrial and commercial areas,139
Orchards and fruit growing,Orchards and fruit growing,Industrial and commercial areas,Diffuse built-up area,136
Vineyards,Vineyards,Oilseeds (Rapeseed),Vineyards,132
Hardwood forest,Hardwood forest,Sunflower,Corn,132
Woody moorlands,Woody moorlands,Orchards and fruit growing,Diffuse built-up area,131
Orchards and fruit growing,Orchards and fruit growing,Sunflower,Oilseeds (Rapeseed),131
Industrial and commercial areas,Industrial and commercial areas,Sunflower,Corn,131
Industrial and commercial areas,Industrial and commercial areas,Woody moorlands,Diffuse built-up area,129
Soy,Soy,Soy,Industrial and commercial areas,129
Vineyards,Vineyards,Industrial and commercial areas,Sunflower,129
Industrial and commercial areas,Industrial and commercial areas,Sunflower,Oilseeds (Rapeseed),128
Hardwood forest,Hardwood forest,Softwood forest,Hardwood forest,124
Vineyards,Vineyards,Sunflower,Hardwood forest,123
Softwood forest,Softwood forest,Softwood forest,Orchards and fruit growing,123
Hardwood forest,Hardwood forest,Hardwood forest,Corn,122
Woody moorlands,Woody moorlands,Water,Orchards and fruit growing,121
Vineyards,Vineyards,Vineyards,Corn,121
Orchards and fruit growing,Orchards and fruit growing,Orchards and fruit growing,Softwood forest,120
Roads,Roads,"Straw cereals (Wheat, Triticale, Barley)",Industrial and commercial areas,120
Woody moorlands,Woody moorlands,Oilseeds (Rapeseed),"Straw cereals (Wheat, Triticale, Barley)",119
Industrial and commercial areas,Industrial and commercial areas,Orchards and fruit growing,Oilseeds (Rapeseed),119
Woody moorlands,Woody moorlands,"Straw cereals (Wheat, Triticale, Barley)",Orchards and fruit growing,119
Vineyards,Vineyards,Industrial and commercial areas,Corn,118
Soy,Soy,"Straw cereals (Wheat, Triticale, Barley)",Orchards and fruit growing,118
Woody moorlands,Woody moorlands,Softwood forest,Orchards and fruit growing,118
Corn,Corn,Oilseeds (Rapeseed),Orchards and fruit growing,115
Hardwood forest,Hardwood forest,Diffuse built-up area,Corn,115
Water,Water,Industrial and commercial areas,Woody moorlands,114
Vineyards,Vineyards,Vineyards,Sunflower,113
Natural grasslands and pastures,Natural grasslands and pastures,Sunflower,"Straw cereals (Wheat, Triticale, Barley)",113
Orchards and fruit growing,Orchards and fruit growing,Industrial and commercial areas,Sunflower,111
Roads,Roads,Sunflower,Industrial and commercial areas,110
Woody moorlands,Woody moorlands,Orchards and fruit growing,Sunflower,110
Water,Water,Sunflower,Industrial and commercial areas,110
Orchards and fruit growing,Orchards and fruit growing,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",109
Natural grasslands and pastures,Natural grasslands and pastures,Water,Softwood forest,109
Diffuse built-up area,Diffuse built-up area,Vineyards,Diffuse built-up area,109
Orchards and fruit growing,Orchards and fruit growing,Orchards and fruit growing,Soy,109
Vineyards,Vineyards,Sunflower,Soy,108
Woody moorlands,Woody moorlands,Orchards and fruit growing,Water,108
Dense built-up area,Dense built-up area,Diffuse built-up area,Sunflower,108
Corn,Corn,Protein crops (Beans / Peas),Corn,107
Natural grasslands and pastures,Natural grasslands and pastures,Water,Natural grasslands and pastures,106
Industrial and commercial areas,Industrial and commercial areas,Orchards and fruit growing,Woody moorlands,105
Hardwood forest,Hardwood forest,Industrial and commercial areas,Woody moorlands,105
Water,Water,Sunflower,Orchards and fruit growing,105
Orchards and fruit growing,Orchards and fruit growing,Woody moorlands,Sunflower,103
Natural grasslands and pastures,Natural grasslands and pastures,"Straw cereals (Wheat, Triticale, Barley)",Natural grasslands and pastures,103
Dense built-up area,Dense built-up area,Orchards and fruit growing,Dense built-up area,103
Vineyards,Vineyards,Vineyards,Soy,103
Orchards and fruit growing,Orchards and fruit growing,Vineyards,Industrial and commercial areas,102
Industrial and commercial areas,Industrial and commercial areas,Industrial and commercial areas,Oilseeds (Rapeseed),100
Vineyards,Vineyards,Industrial and commercial areas,Soy,99
Soy,Soy,Sunflower,"Straw cereals (Wheat, Triticale, Barley)",98
Hardwood forest,Hardwood forest,Diffuse built-up area,Soy,98
Hardwood forest,Hardwood forest,Orchards and fruit growing,Sunflower,98
Dense built-up area,Dense built-up area,Industrial and commercial areas,Roads,97
Orchards and fruit growing,Orchards and fruit growing,Natural grasslands and pastures,Orchards and fruit growing,96
Orchards and fruit growing,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",Industrial and commercial areas,96
Industrial and commercial areas,Industrial and commercial areas,Sunflower,Protein crops (Beans / Peas),96
Vineyards,Vineyards,Water,Orchards and fruit growing,96
Dense built-up area,Dense built-up area,"Straw cereals (Wheat, Triticale, Barley)",Sunflower,96
Hardwood forest,Hardwood forest,"Straw cereals (Wheat, Triticale, Barley)",Sunflower,95
Industrial and commercial areas,Industrial and commercial areas,Hardwood forest,Industrial and commercial areas,94
Industrial and commercial areas,Industrial and commercial areas,Woody moorlands,Orchards and fruit growing,93
Vineyards,Vineyards,Softwood forest,Orchards and fruit growing,93
Woody moorlands,Woody moorlands,Water,Softwood forest,93
Softwood forest,Softwood forest,Woody moorlands,Industrial and commercial areas,92
Softwood forest,Softwood forest,Softwood forest,Water,91
Natural grasslands and pastures,Natural grasslands and pastures,Softwood forest,Woody moorlands,90
Softwood forest,Softwood forest,Woody moorlands,Water,90
Industrial and commercial areas,Industrial and commercial areas,Industrial and commercial areas,Vineyards,90
Water,Water,Softwood forest,Woody moorlands,89
Industrial and commercial areas,Industrial and commercial areas,Soy,Industrial and commercial areas,89
Hardwood forest,Hardwood forest,Vineyards,Industrial and commercial areas,89
Orchards and fruit growing,Orchards and fruit growing,Oilseeds (Rapeseed),Industrial and commercial areas,89
Water,Water,Woody moorlands,Softwood forest,89
Dense built-up area,Dense built-up area,Orchards and fruit growing,Diffuse built-up area,88
Vineyards,Vineyards,"Straw cereals (Wheat, Triticale, Barley)",Soy,87
Roads,Roads,Industrial and commercial areas,Sunflower,87
Corn,Corn,Diffuse built-up area,Industrial and commercial areas,87
Sunflower,Sunflower,Protein crops (Beans / Peas),Sunflower,86
Corn,Corn,Orchards and fruit growing,Corn,86
Vineyards,Vineyards,Orchards and fruit growing,Sunflower,86
Industrial and commercial areas,Industrial and commercial areas,Industrial and commercial areas,Corn,83
Softwood forest,Softwood forest,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",83
Woody moorlands,Woody moorlands,Oilseeds (Rapeseed),Industrial and commercial areas,82
Woody moorlands,Woody moorlands,Sunflower,Water,82
Vineyards,Vineyards,Diffuse built-up area,Oilseeds (Rapeseed),82
Water,Water,Orchards and fruit growing,Sunflower,81
Vineyards,Vineyards,Oilseeds (Rapeseed),Sunflower,80
Natural grasslands and pastures,Natural grasslands and pastures,Woody moorlands,Softwood forest,80
Water,Water,Vineyards,Water,79
Industrial and commercial areas,Industrial and commercial areas,Softwood forest,Orchards and fruit growing,79
Softwood forest,Softwood forest,Orchards and fruit growing,Industrial and commercial areas,79
Soy,Soy,Roads,Hardwood forest,79
Orchards and fruit growing,Orchards and fruit growing,Sunflower,Woody moorlands,78
Softwood forest,Softwood forest,Softwood forest,"Straw cereals (Wheat, Triticale, Barley)",77
Orchards and fruit growing,Orchards and fruit growing,Sunflower,Corn,76
Roads,Roads,"Straw cereals (Wheat, Triticale, Barley)",Roads,76
Diffuse built-up area,Diffuse built-up area,Sunflower,Industrial and commercial areas,74
Industrial and commercial areas,Industrial and commercial areas,Oilseeds (Rapeseed),Sunflower,74
Softwood forest,Softwood forest,Diffuse built-up area,Softwood forest,74
Orchards and fruit growing,Orchards and fruit growing,Softwood forest,Industrial and commercial areas,74
Orchards and fruit growing,Orchards and fruit growing,Corn,"Straw cereals (Wheat, Triticale, Barley)",74
Vineyards,Vineyards,Vineyards,Orchards and fruit growing,74
Natural grasslands and pastures,Natural grasslands and pastures,Diffuse built-up area,Natural grasslands and pastures,73
Woody moorlands,Woody moorlands,Softwood forest,Water,73
Corn,Corn,"Straw cereals (Wheat, Triticale, Barley)",Sunflower,73
Corn,Corn,Soy,Sunflower,72
Orchards and fruit growing,Orchards and fruit growing,Diffuse built-up area,Sunflower,72
Roads,Roads,Softwood forest,Woody moorlands,71
Water,Water,Orchards and fruit growing,Softwood forest,71
Orchards and fruit growing,Orchards and fruit growing,Industrial and commercial areas,Oilseeds (Rapeseed),71
Hardwood forest,Hardwood forest,Oilseeds (Rapeseed),Orchards and fruit growing,70
Industrial and commercial areas,Industrial and commercial areas,Grasslands,Industrial and commercial areas,69
Dense built-up area,Dense built-up area,Dense built-up area,Industrial and commercial areas,69
Hardwood forest,Hardwood forest,Orchards and fruit growing,Vineyards,69
Industrial and commercial areas,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",Diffuse built-up area,69
Dense built-up area,Dense built-up area,Industrial and commercial areas,Sunflower,68
Woody moorlands,Woody moorlands,Diffuse built-up area,Orchards and fruit growing,68
Woody moorlands,Woody moorlands,"Straw cereals (Wheat, Triticale, Barley)",Industrial and commercial areas,68
Sunflower,Sunflower,Hardwood forest,Sunflower,68
Orchards and fruit growing,Orchards and fruit growing,Industrial and commercial areas,Softwood forest,67
Industrial and commercial areas,Industrial and commercial areas,Vineyards,Diffuse built-up area,66
Water,Water,"Straw cereals (Wheat, Triticale, Barley)",Soy,66
Industrial and commercial areas,Industrial and commercial areas,Vineyards,Orchards and fruit growing,65
Soy,Soy,Roads,Soy,64
Vineyards,Vineyards,Vineyards,Oilseeds (Rapeseed),64
Industrial and commercial areas,Industrial and commercial areas,Sunflower,Soy,64
Vineyards,Vineyards,Sunflower,Orchards and fruit growing,64
Vineyards,Vineyards,Orchards and fruit growing,Hardwood forest,64
Industrial and commercial areas,Industrial and commercial areas,Orchards and fruit growing,Vineyards,63
Orchards and fruit growing,Orchards and fruit growing,Woody moorlands,Water,63
Diffuse built-up area,Diffuse built-up area,Vineyards,Industrial and commercial areas,63
